; 합성 체인 스테이징 v0.15 — 우화집 분해 실행: 생물 22종 → 뿌리 42(T1 24+T2 18)+재결합 T3 17+2경로 4+모순쌍 3(잎 6). ★치명(독안)·회피(활공·눈치싸움)·도시 생산(야금계)·발효 앵커(취기체질) 보강
; 합성 체인 스테이징 v0.14 — 티어다운 26 선천 편입+전량 배선(B-2 실현 T2 5 + 상위 연결 5 + 2경로 16). T1 증원 1갱도 완료
; 합성 체인 스테이징 v0.13 — 규칙③ 개정(T1/T2 단독 완결 폐지 — 전원 T3+ 참여) 대량 배선: 신규 T3 39·2경로 8·의연/꿋꿋함 정정. 변용 칸=상태 사다리 면제. 병합 후보 별도(새드→S기질·마조→M기질·덩치→거구·빈유→절벽)
; 합성 체인 스테이징 v0.12 — 규칙⑥ 전면 처리(T2 종착 0 달성 목표): 상향 배선 9 + 트리거 해피 B-1 체인 완성 + 순백인형 재배선
; 합성 체인 스테이징 v0.11 — 고아 검증 패스: 진짜 고아 12(미참여+무효과) 중 5 구제(2경로 편입: 달관·침묵·월광용해=원안 복원, 침식물기·침식사=신규). 잔여 7=판정 대기(trait_map 대장)
; 합성 체인 스테이징 v0.10 — PT 순혈도 인하: **행성 극 7 = 기질(PT)+상응 금속(BT) 별-금속 대응 레시피**(해맑음=황금·달뜸=백은·화끈=무쇠·금슬=적동·수더분=진사·목가=주석·토박이=연갑) + 구 4쌍 극 5곳 AT/BT 주입(명랑=회복빠름·음울=회복느림·억압=수치심과잉·해방=과감도·꿋꿋함=강인). 프라이드쌍·엄살=순혈 유지(전부 교차일 필요 없음)
; 합성 체인 스테이징 v0.9 — CT 순혈도 인하(레티어스: 원 설계 의도=영역 교차): 원소 격자 11곳에 교차 재료 주입(금속 5: 진사·연갑·황금·주석·적동×2 / PT 4: 감정폭발·관찰벽·소유욕·유혹 / AT 1: 독감도 / BT 1: 대체형). ★자 격자 뿌리 없음 해소=적동이 뿌리 담당. ⚠T1 재료 4곳=공식상 T2 권장, 잠정 허용
; 합성 체인 스테이징 v0.8 — BT·AT 이관분 공석 사다리 9 채움(금속 재료 배선: 무쇠×2·연갑·적동, 교차 T3 재활용 4: 기록가·화염 단조사·촉매체질·점액 산란). 효과 저작=상향식 원칙(레티어스: T1/T2 작은 효과 먼저 확정→합치며 올리면서 밸런스)
; 합성 체인 스테이징 v0.7 — 승격 7쌍 극 전원 T3 통일(구 4쌍 극 8 레시피 신설). 원본 16쌍=낮은 모순층(극 T1~T2→잎 T3) 유지, 승격 7쌍=높은 층(극 T3→잎 T4). 정합 교체: 해맑음 재료 명랑→낙관, 여왕 재료 프라이드높음→오만
; 합성 체인 스테이징 v0.6 — 행성 극=T3 확정(레티어스 정정: 베이스→행성 극 T3 합성→모순 발동→별 잎 T4 사다리 완성). 극 레시피 7 잠정 + 승격 후보 3쌍 대기
; 합성 체인 스테이징 v0.5 — PT 무게=티어 명명 체계(레티어스): 일상어 극=T2/고전 성명 잎=T4. 모순 승격 6→7쌍(행성 3쌍 편입, 미선정 해소). 잎 14 전부 천문 결 세트
; 합성 체인 스테이징 v0.4 (2026-07-17) — BT T4 확장(레티어스: 신체=도시 배치 연동 강화): 4→13석(+전투2·방어1·조교2·탐사생활3·재생1, 전부 공석). 공식: T3=베이스2(비대칭)/T4=T3+T2(최대)/T5=합성 불가
; CT 재작업: 불괴 중간=부동성채(교차 재활용, 성채 폐기). PT 모순 승격=모순 발동 문법(합성 아님). 신규 T3 잠정명·잎 미확정=채움 대기 목록 참조(뷰어 상단)
cat|lane|face|fruit|tier|chain|status|note
BT|배선(규칙③)|—|자동인형|T3|기계 + 인형 => 자동인형(T3)|잠정|종족 묶음
BT|배선(규칙③)|—|마족혈통|T3|악마 + 흡혈귀 => 마족혈통(T3)|잠정|종족 묶음
BT|배선(규칙③)|—|유령신체|T3|영체 + 안개장 => 유령신체(T3)|잠정|교차(BT+CT) 종족 배선
CT|배선(규칙③)|—|해부학|T3|약점 + 해체분석 => 해부학(T3)|잠정|2경로 — 약점(PT) 교차 배선. T2 합성 폐지 정정(구 약점감지 2경로 대체)
BT|배선(규칙③)|—|풍만|T3|큰엉덩이 + 거구 => 풍만(T3)|잠정|체형 묶음
BT|배선(규칙③)|—|초소형|T3|소인체형 + 작은체형 => 초소형(T3)|잠정|체형 묶음(극 재료 겸용)
AT|배선(규칙③)|—|무저항|T3|즉각함락 + 수동적 => 무저항(T3)|잠정|즉시 무너지는 결 (함락 어휘 회피)
CT|배선(규칙③)|—|약점감지|T2|약점 + 관찰벽 => 약점감지(T2)|잠정|복권(공식 v3: T1+T1=T2) — 해부학 2경로와 병존. 약점감지→해부학적 약점 상위 소비처 有
AT|선천 편입 배선|—|양면봉사|T2|무조건봉사 + 가학환류 => 양면봉사(T2)|잠정|B-2 실현 — 봉사하며 얻고 고통에서도 얻는 양면
AT|선천 편입 배선|—|연구조교|T2|점진침식 + 관측자 효과 => 연구조교(T2)|잠정|B-2 실현 — 누적+관측의 효율 조교
AT|선천 편입 배선|—|태엽조교|T2|동면조교 + 인형 조서 => 태엽조교(T2)|잠정|B-2 실현 — 무저항+반복 경감의 기계적 반복
CT|선천 편입 배선|—|광역제압|T2|심판관 + 독무 산포 => 광역제압(T2)|잠정|B-2 실현 — 광역 SPD 제압
CT|선천 편입 배선|—|기습약탈|T2|꼬리 기습 + 사기꾼 => 기습약탈(T2)|잠정|B-2 실현 — 선빵 약탈자
AT|선천 편입 배선|—|역위|T3|양면봉사 + S기질 => 역위(T3)|잠정|신규 T2 상위 소비처(규칙⑥)
AT|선천 편입 배선|—|해부조교|T3|연구조교 + 해부감도 => 해부조교(T3)|잠정|〃
AT|선천 편입 배선|—|몽환조교|T3|태엽조교 + 둔감체질 => 몽환조교(T3)|잠정|〃
CT|선천 편입 배선|—|함정술사|T3|광역제압 + 교활 => 함정술사(T3)|잠정|〃
CT|선천 편입 배선|—|복병|T3|기습약탈 + 위장 => 복병(T3)|잠정|〃
PT|선천 편입 배선|—|동결심|T3|정적의 부패 + 무감정(표면) => 동결심(T3)|잠정|2경로
BT|선천 편입 배선|—|생체갑주|T3|내압강화 + 경갑 => 생체갑주(T3)|잠정|2경로
CT|선천 편입 배선|—|결정반사갑|T3|거울 비늘 + 결정체 => 결정반사갑(T3)|잠정|2경로
BT|선천 편입 배선|—|박리사|T3|정밀기교 + 결벽 => 박리사(T3)|잠정|2경로
CT|선천 편입 배선|—|무영|T3|은밀한 숙련 + 안개장 => 무영(T3)|잠정|2경로
BT|선천 편입 배선|—|변이적응|T3|부정형 심장 + 위장 => 변이적응(T3)|잠정|2경로
PT|선천 편입 배선|—|규율|T3|그루밍 + 청결 => 규율(T3)|잠정|2경로
AT|선천 편입 배선|—|열광|T3|발정징후 + 발정폭주 => 열광(T3)|잠정|2경로
CT|선천 편입 배선|—|공명|T3|결정공명 + 잔향 => 공명(T3)|잠정|2경로
BT|선천 편입 배선|—|탐사광|T3|탐사유대 + 호기심 => 탐사광(T3)|잠정|2경로
AT|선천 편입 배선|—|점액변성|T3|중독성 피부 + 점액체 => 점액변성(T3)|잠정|2경로
PT|선천 편입 배선|—|각인독점|T3|복종의 안테나 + 집착 => 각인독점(T3)|잠정|2경로
BT|선천 편입 배선|—|촉매체질|T3|수원의 정령 + 약초적성 => 촉매체질(T3)|잠정|2경로
AT|선천 편입 배선|—|과민소체|T3|작은 구멍 + 소체형 => 과민소체(T3)|잠정|2경로
AT|선천 편입 배선|—|통감|T3|공감각 진동 + 감수성 => 통감(T3)|잠정|2경로
PT|선천 편입 배선|—|신의|T3|충성스러운 미동 + 충직 => 신의(T3)|잠정|2경로
CT|우화집 분해|—|적사자|T3|사자심 + 업화 => 적사자(T3)|잠정|녹사자의 정련 상위 결
CT|우화집 분해|—|쌍두감시|T3|겹시선 + 두머리 => 쌍두감시(T3)|잠정|
CT|우화집 분해|—|활공|T3|창공시야 + 상승기류 => 활공(T3)|잠정|★회피 보강
PT|우화집 분해|—|자박|T3|날개무게 + 자제심 => 자박(T3)|잠정|헤르메스의 새 명문
PT|우화집 분해|—|눈치싸움|T3|새벽울음 + 여우꾀 => 눈치싸움(T3)|잠정|★경계·회피 결
BT|우화집 분해|—|봉군|T3|군집본능 + 꿀샘 => 봉군(T3)|잠정|
BT|우화집 분해|—|일각수|T3|일각 + 정결감지 => 일각수(T3)|잠정|
BT|우화집 분해|—|용혈|T3|용익 + 지룡비늘 => 용혈(T3)|잠정|揮/固 한 몸
CT|우화집 분해|—|독안|T3|사안 + 맹독샘 => 독안(T3)|잠정|★치명 보강
BT|우화집 분해|—|고정탈피|T3|탈피혼 + 인내독 => 고정탈피(T3)|잠정|
BT|우화집 분해|—|비밀비늘|T3|사반신 + 비밀주의 => 비밀비늘(T3)|잠정|멜루지네 유닛 직행 표기
CT|우화집 분해|—|세이렌송|T3|매성 + 수가 => 세이렌송(T3)|잠정|
BT|우화집 분해|—|수체|T3|물갈퀴 + 유체적응 => 수체(T3)|잠정|
CT|우화집 분해|—|절규|T3|뿌리내림 + 비명 => 절규(T3)|잠정|
PT|우화집 분해|—|복명체|T3|토신 + 이마글자 => 복명체(T3)|잠정|
BT|우화집 분해|—|야금계|T3|황금알 + 검은깃 => 야금계(T3)|잠정|★도시 생산 결
PT|우화집 분해|—|달전령|T3|흰깃 + 온순비상 => 달전령(T3)|잠정|
PT|우화집 분해|—|요설|T3|황금유혹 + 교활 => 요설(T3)|잠정|2경로 — 황금 사과 배선
AT|우화집 분해|—|약탐|T3|취기체질 + 미약중독 => 약탐(T3)|잠정|2경로 — 포도(발효 앵커) 배선
BT|우화집 분해|—|재생피부|T3|재생종자 + 회복빠름 => 재생피부(T3)|잠정|2경로 — 밀 배선
BT|우화집 분해|—|변이적응|T3|이종혈 + 위장 => 변이적응(T3)|잠정|2경로 — 키메라 뿌리 배선
PT|우화집 분해|갈림|들피 ⟷ 집피|T3|(모순 발동) => 통합 화해수 / 분열 골육상쟁|잎 확정(잠정)|늑대와 개 — 야생↔길듦 (하위 모순층)
PT|우화집 분해|갈림|승사 ⟷ 강사|T3|(모순 발동) => 통합 쌍사합주 / 분열 뒤엉킴|잎 확정(잠정)|카두케우스 (하위 모순층)
AT|우화집 분해|갈림|백장미 ⟷ 적장미|T3|(모순 발동) => 통합 장미원 / 분열 낙화|잎 확정(잠정)|알베도↔루베도 (하위 모순층)
